BeginDatum	Starttijd	Aanwezig	EindDatum	Eindtijd	Titel	Beschrijving	Plaats
30-3-2024	07:30		30-3-2024	18:30	Mix2-IJsselslag		Deventer
6-4-2024	07:30		6-4-2024	18:30	Mix2-Vechten op de Vecht		Weesp
20-4-2024	07:30		20-4-2024	18:30	Mix2-Roeisloepenrace Grou		Grou
27-4-2024	07:30		27-4-2024	18:30	Mix2-IFK sloeproeien		Lemmer
10-5-2024	07:30		10-5-2024	18:30	Mix2-HT Race		Harlingen
25-5-2024	07:30		25-5-2024	18:30	Mix2-Vuurtorenrace		Urk
8-6-2024	07:30		8-6-2024	18:30	Mix2-Kaagrace		Warmond
15-6-2024	07:30		15-6-2024	18:30	Mix2-Volvo Zwolse Grachtenrace		Zwolle
6-7-2024	07:30		6-7-2024	18:30	Mix2-Roeiregatta Haringvliet		Hellevoetsluis
13-7-2024	07:30		13-7-2024	18:30	Mix2-Respec op de Lek		Culemborg
20-7-2024	07:30		20-7-2024	18:30	Mix2-Mosselrace		Bruinisse
24-8-2024	07:30		24-8-2024	18:30	Mix2-Slag om Gent		Gent
7-9-2024	07:30		7-9-2024	18:30	Mix2-Maasrace		Rotterdam
14-9-2024	07:30		14-9-2024	18:30	Mix2-Slag om Willemstad		Willemstad
14-9-2024	07:30		14-9-2024	18:30	Mix2-ZwarteWaterRace		Zwartsluis
21-9-2024	07:30		21-9-2024	18:30	Mix2-Veerse Meerrace		Kortgene
28-9-2024	07:30		28-9-2024	18:30	Mix2-Langweerder Sloepenrace		Langweer
26-10-2024	07:30		26-10-2024	18:30	Mix2-Liwwadster Rondje		Leeuwarden
2-11-2024	07:30		2-11-2024	18:30	Mix2-Muiden-Pampus-Muiden		Muiden
3-11-2024	07:30		3-11-2024	18:30	Mix2-Muiden-Pampus-Muiden		Muiden