Date,Description,Location,Summary
30-3-2024,IJsselslag, Deventer
6-4-2024,Vechten op de Vecht, Weesp
20-4-2024,Roeisloepenrace Grou, Grou
27-4-2024,IFK sloeproeien, Lemmer
10-5-2024,HT Race, Harlingen
25-5-2024,Vuurtorenrace, Urk
8-6-2024,Kaagrace, Warmond
15-6-2024,Volvo Zwolse Grachtenrace, Zwolle
22-6-2023,Kameleonrace, Terherne
6-7-2024,Roeiregatta Haringvliet, Hellevoetsluis
13-7-2024,Respec op de Lek, Culemborg
20-7-2024,Mosselrace, Bruinisse 
24-8-2024,Slag om Gent, Gent
7-9-2024,Maasrace, Rotterdam 
14-9-2024,Slag om Willemstad, Willemstad
14-9-2024,ZwarteWaterRace, Zwartsluis 
21-9-2024,Veerse Meerrace, Kortgene
28-9-2024,Langweerder Sloepenrace, Langweer
26-10-2024,Liwwadster Rondje, Leeuwarden
2-11-2024,Muiden-Pampus-Muiden, Muiden
3-11-2024,Muiden-Pampus-Muiden, Muiden